SL Target,SEQID,Module,Primary Target,Exposure (s),RA,DEC,PA,,In old sheet?,Notes
4U 1705-44,30102054006,B,IGR_J16493m4348,2.15611E+04,252.3469,-43.8361,342.8928,1,Y,Multiple sources
4U 1705-44,30301024002,A,PNE_G343,3.71066E+04,255.3785,-43.1653,299.7251,2,Y,Strong SL (at least two)
4U 1705-44,30401019002,A,OAO_1657m415,7.47602E+04,255.2358,-41.6722,259.1556,0,N,Overlapping with 4U 1702-429
4U 1705-44,30460005002,A,IGR_J17195m4100,2.95364E+04,259.8461,-41.0339,353.0336,2,Y,Moderate SL
4U 1705-44,80301301002,B,Swift_J1658d2m4242,3.15367E+04,254.5835,-42.6807,156.8916,0,Y,"Strong primary, SL in FPMB"
4U 1705-44,80302302004,B,Swift_J1658d2m4242,2.50759E+04,254.582,-42.6809,159.4412,NA,Y,"One big, one small"
4U 1705-44,80302302006,B,Swift_J1658d2m4242,2.82446E+04,254.5799,-42.6804,161.8368,0,Y,"Strong primary, SL in FPMB"
4U 1705-44,80302302008,B,Swift_J1658d2m4242,2.67141E+04,254.5879,-42.6828,163.3074,0,Y,"Strong primary, SL in FPMB"
4U 1705-44,80302302010,B,Swift_J1658d2m4242,2.91020E+04,254.5907,-42.6817,167.8524,1,Y,"Strong primary, SL in FPMB"
4U 1705-44,90301322001,A,MAXI_J1621m501,1.94638E+04,245.0179,-50.024,14.9156,0,N,PSF Bleed
4U 1705-44,90401307002,B,Swift_J1658d2m4242,3.33371E+04,254.5796,-42.6802,153.8274,1,Y,"Strong primary, SL in FPMB"
4U 1705-44,90401317002,B,Swift_J1658d2m4242,2.84930E+04,254.58,-42.6784,183.1056,1,Y,Faint SL
4U 1708-40,30201031002,A,HESS_J1713m381,7.85613E+04,258.4917,-38.1924,341.7747,1,Y,Strong Unidentified SL on A
4U 1708-40,30401019002,B,OAO_1657m415,7.47602E+04,255.2358,-41.6722,259.1556,1,N,Faint SL on FPMB
4U 1708-40,40111001002,A,RXJ1713d7m3946_NW_P1,4.95966E+04,257.8546,-39.5209,343.286,2,Y,"Multiple overlapping. Probably 4U 1708-40, but complex"
